food,safe_alternative,reason
family pack cheeseburger,no sugar steamed idli,no sugar steamed idli is whole grains provide sustained energy compared to family pack cheeseburger.
small halwa,dal fry (less oil),dal fry (less oil) is fermented or dairy option aids digestion compared to small halwa.
small flavored yogurt,vegetable upma,vegetable upma is contains more protein to keep you full compared to small flavored yogurt.
manchurian,no sugar herbal tea,no sugar herbal tea is contains more protein to keep you full compared to manchurian.
lachha paratha,grilled tofu stir-fry,grilled tofu stir-fry is contains more protein to keep you full compared to lachha paratha.
black forest cake,air-popped popcorn,air-popped popcorn is includes more vegetables and micronutrients compared to black forest cake.
flavored yogurt,hand-pounded rice,hand-pounded rice is baked or steamed instead of deep-fried compared to flavored yogurt.
kathi roll,unsweetened tofu tikka,unsweetened tofu tikka is whole grains provide sustained energy compared to kathi roll.
mutton biryani,grilled air-popped popcorn,grilled air-popped popcorn is less sugar and better for blood glucose control compared to mutton biryani.
masala butter chicken,brown rice,brown rice is baked or steamed instead of deep-fried compared to masala butter chicken.
fried rice,plain millet roti,plain millet roti is whole grains provide sustained energy compared to fried rice.
momos fried,moong chilla,moong chilla is baked or steamed instead of deep-fried compared to momos fried.
loaded pepperoni pizza,homestyle cucumber salad,homestyle cucumber salad is includes more vegetables and micronutrients compared to loaded pepperoni pizza.
popcorn butter,plain plain khichdi,plain plain khichdi is includes more vegetables and micronutrients compared to popcorn butter.
small white bread,no sugar vegetable khichdi,no sugar vegetable khichdi is less sugar and better for blood glucose control compared to small white bread.
pav bhaji,plain dosa,plain dosa is includes more vegetables and micronutrients compared to pav bhaji.
garlic paneer butter masala,homestyle tofu tikka,homestyle tofu tikka is includes more vegetables and micronutrients compared to garlic paneer butter masala.
sweet lassi,ragi dosa,ragi dosa is lower sodium content supports heart health compared to sweet lassi.
french fries,homestyle roasted veggies,homestyle roasted veggies is includes more vegetables and micronutrients compared to french fries.
loaded hakka noodles,no butter black coffee (no sugar),no butter black coffee (no sugar) is reduced oil and lighter on the stomach compared to loaded hakka noodles.
garlic spring rolls,plain khichdi,plain khichdi is baked or steamed instead of deep-fried compared to garlic spring rolls.
butter chicken,unsweetened cucumber salad,unsweetened cucumber salad is less sugar and better for blood glucose control compared to butter chicken.
bhatura,sprouts salad,sprouts salad is reduced oil and lighter on the stomach compared to bhatura.
manchurian,low-oil grilled fish,low-oil grilled fish is baked or steamed instead of deep-fried compared to manchurian.
white bread,baked samosa,baked samosa is includes more vegetables and micronutrients compared to white bread.
jalebi,brown rice,brown rice is less sugar and better for blood glucose control compared to jalebi.
butter kathi roll,baked plain khichdi,baked plain khichdi is higher in fiber which improves satiety compared to butter kathi roll.
kaju katli,herbal tea,herbal tea is includes more vegetables and micronutrients compared to kaju katli.
spring rolls,light plain dosa,light plain dosa is lower in saturated fat and calories compared to spring rolls.
tortilla chips,no butter sweet potato chaat,no butter sweet potato chaat is reduced oil and lighter on the stomach compared to tortilla chips.
small momos fried,tofu tikka,tofu tikka is lower sodium content supports heart health compared to small momos fried.
cold coffee,roasted chana,roasted chana is lower in saturated fat and calories compared to cold coffee.
samosa,buttermilk,buttermilk is fermented or dairy option aids digestion compared to samosa.
double cold coffee,stir-fried veggies,stir-fried veggies is reduced oil and lighter on the stomach compared to double cold coffee.
masala popcorn butter,grilled nuts mix (unsalted),grilled nuts mix (unsalted) is higher in fiber which improves satiety compared to masala popcorn butter.
butter falooda,herbal tea,herbal tea is reduced oil and lighter on the stomach compared to butter falooda.
garlic sugarcane juice,sweet potato chaat,sweet potato chaat is baked or steamed instead of deep-fried compared to garlic sugarcane juice.
loaded black forest cake,plain dal tadka,plain dal tadka is lower sodium content supports heart health compared to loaded black forest cake.
veg biryani,unsweetened vegetable upma,unsweetened vegetable upma is fermented or dairy option aids digestion compared to veg biryani.
family pack pepperoni pizza,unsweetened sattu drink (unsweetened),unsweetened sattu drink (unsweetened) is whole grains provide sustained energy compared to family pack pepperoni pizza.
fried chicken,lemon water,lemon water is contains more protein to keep you full compared to fried chicken.
jalebi,fruit salad,fruit salad is reduced oil and lighter on the stomach compared to jalebi.
samosa,steamed sauteed greens,steamed sauteed greens is lower in saturated fat and calories compared to samosa.
masala pani puri,light nuts mix (unsalted),light nuts mix (unsalted) is includes more vegetables and micronutrients compared to masala pani puri.
regular sev puri,whole wheat roti,whole wheat roti is baked or steamed instead of deep-fried compared to regular sev puri.
chicken nuggets,low-fat yogurt,low-fat yogurt is lower sodium content supports heart health compared to chicken nuggets.
garlic bread,vegetable upma,vegetable upma is less sugar and better for blood glucose control compared to garlic bread.
misal pav,oats upma,oats upma is contains more protein to keep you full compared to misal pav.
jalebi,no butter baked samosa,no butter baked samosa is lower sodium content supports heart health compared to jalebi.
small fried rice,unsweetened roasted veggies,unsweetened roasted veggies is contains more protein to keep you full compared to small fried rice.
butter fish and chips,greek yogurt,greek yogurt is lower in saturated fat and calories compared to butter fish and chips.
sweet lassi,grilled tandoori chicken,grilled tandoori chicken is lower in saturated fat and calories compared to sweet lassi.
laddu,greek yogurt,greek yogurt is fermented or dairy option aids digestion compared to laddu.
laddu,cucumber salad,cucumber salad is includes more vegetables and micronutrients compared to laddu.
misal pav,black coffee (no sugar),black coffee (no sugar) is less sugar and better for blood glucose control compared to misal pav.
family pack pani puri,air-popped popcorn,air-popped popcorn is lower sodium content supports heart health compared to family pack pani puri.
poori,sauteed greens,sauteed greens is lower sodium content supports heart health compared to poori.
masala bhujia,roasted veggies,roasted veggies is baked or steamed instead of deep-fried compared to masala bhujia.
large hakka noodles,unsweetened multigrain roti,unsweetened multigrain roti is contains more protein to keep you full compared to large hakka noodles.
kulcha,plain roasted chana,plain roasted chana is less sugar and better for blood glucose control compared to kulcha.
butter halwa,steamed hand-pounded rice,steamed hand-pounded rice is contains more protein to keep you full compared to butter halwa.
large butter chicken,paneer tikka,paneer tikka is includes more vegetables and micronutrients compared to large butter chicken.
regular nachos,plain baked samosa,plain baked samosa is lower in saturated fat and calories compared to regular nachos.
falooda,dark chocolate (small piece),dark chocolate (small piece) is fermented or dairy option aids digestion compared to falooda.
spring rolls,coconut water,coconut water is baked or steamed instead of deep-fried compared to spring rolls.
samosa,tandoori chicken,tandoori chicken is baked or steamed instead of deep-fried compared to samosa.
large cheeseburger,buttermilk,buttermilk is whole grains provide sustained energy compared to large cheeseburger.
